"name","owner","creation","modified","modified_by","docstatus","idx","item_group_name","parent_item_group","is_group","lft","old_parent","rgt","doctype","item_group_defaults","taxes"
"Permedica - Hip","Administrator","2026-05-11 23:52:03.915034","2026-05-11 23:52:03.915034","Administrator","0","21","Permedica - Hip","All Item Groups","0","88","All Item Groups","89","Item Group","",""
"Permedica - Knee","Administrator","2026-05-11 23:52:03.951334","2026-05-11 23:52:03.951334","Administrator","0","16","Permedica - Knee","All Item Groups","0","90","All Item Groups","91","Item Group","",""
"Plates","Administrator","2026-05-11 23:52:04.034937","2026-05-11 23:52:04.034937","Administrator","0","1","Plates","All Item Groups","0","92","All Item Groups","93","Item Group","",""
"Prodorth","Administrator","2026-05-11 23:52:04.142272","2026-05-11 23:52:04.142272","Administrator","0","2","Prodorth","All Item Groups","0","94","All Item Groups","95","Item Group","",""
"Radius Prosthesis","Administrator","2026-05-11 23:52:04.204650","2026-05-11 23:52:04.204650","Administrator","0","1","Radius Prosthesis","All Item Groups","0","96","All Item Groups","97","Item Group","",""
"Revers Shoulder","Administrator","2026-05-11 23:52:04.259733","2026-05-11 23:52:04.259733","Administrator","0","3","Revers Shoulder","All Item Groups","0","98","All Item Groups","99","Item Group","",""
"SOPHYSA","Administrator","2026-05-11 23:52:04.313352","2026-05-11 23:52:04.313352","Administrator","0","0","SOPHYSA","All Item Groups","0","100","All Item Groups","101","Item Group","",""
"SceneRay","Administrator","2026-05-11 23:52:04.356097","2026-05-11 23:52:04.356097","Administrator","0","0","SceneRay","All Item Groups","0","102","All Item Groups","103","Item Group","",""
"Screw Set","Administrator","2026-05-11 23:52:04.402715","2026-05-11 23:52:04.402715","Administrator","0","0","Screw Set","All Item Groups","0","104","All Item Groups","105","Item Group","",""
"Screw Set 1","Administrator","2026-05-11 23:52:04.441939","2026-05-11 23:52:04.441939","Administrator","0","0","Screw Set 1","All Item Groups","0","106","All Item Groups","107","Item Group","",""
"Screws","Administrator","2026-05-11 23:52:04.470694","2026-05-11 23:52:04.470694","Administrator","0","1","Screws","All Item Groups","0","108","All Item Groups","109","Item Group","",""
"Spineway","Administrator","2026-05-11 23:52:04.504953","2026-05-11 23:52:04.504953","Administrator","0","0","Spineway","All Item Groups","0","110","All Item Groups","111","Item Group","",""
"TEN","Administrator","2026-05-11 23:52:04.538867","2026-05-11 23:52:04.538867","Administrator","0","0","TEN","All Item Groups","0","112","All Item Groups","113","Item Group","",""
"TTC Nail","Administrator","2026-05-11 23:52:04.560984","2026-05-11 23:52:04.560984","Administrator","0","0","TTC Nail","All Item Groups","0","114","All Item Groups","115","Item Group","",""
"Teknimed Cement","Administrator","2026-05-11 23:52:04.591826","2026-05-11 23:52:04.591826","Administrator","0","0","Teknimed Cement","All Item Groups","0","116","All Item Groups","117","Item Group","",""
"ViscoPhi","Administrator","2026-05-11 23:52:04.628538","2026-05-11 23:52:04.628538","Administrator","0","0","ViscoPhi","All Item Groups","0","118","All Item Groups","119","Item Group","",""
"World Surgery","Administrator","2026-05-11 23:52:04.661350","2026-05-11 23:52:04.661350","Administrator","0","1","World Surgery","All Item Groups","0","120","All Item Groups","121","Item Group","",""
"Zimede","Administrator","2026-05-11 23:52:04.700977","2026-05-11 23:52:04.700977","Administrator","0","3","Zimede","All Item Groups","0","122","All Item Groups","123","Item Group","",""
